IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,Quota,Provincia,Comune,lat,lng
17037,Benzo(a)pirene,ng/m³,583,249.0,BG,Bergamo,45.69103740547214,9.643650579461385
17126,Benzene,µg/m³,705,122.0,MI,Milano,45.47899606168744,9.235491038497502
5832,Monossido di Carbonio,mg/m³,514,152.0,MI,Rho,45.52342566200348,9.044599871111004
12686,Cadmio,ng/m³,633,70.0,CR,Soresina,45.28397715446764,9.863398419993636
12577,Particelle sospese PM2.5,µg/m³,627,39.0,CR,Cremona,45.13194691285173,10.015741513336042
10326,Biossido di Azoto,µg/m³,708,112.0,PV,Parona,45.28193561035791,8.754334594539825
10335,PM10 (SM2005),µg/m³,709,109.0,PV,Vigevano,45.303607869655714,8.844804609965438
6884,Ozono,µg/m³,665,37.0,MN,Viadana,44.92469404955067,10.517502067117825
10028,Particelle sospese PM2.5,µg/m³,685,273.0,BG,Calusco d'Adda,45.69042907854514,9.484260927647789
6328,Ossidi di Azoto,µg/m³,501,129.0,MI,Milano,45.49631644365102,9.190933555313624
6918,PM10 (SM2005),µg/m³,560,383.0,VA,Varese,45.81697323326368,8.820240707158211
6813,Biossido di Azoto,µg/m³,656,47.0,BS,Gambara,45.24954362474624,10.299119496064078
10020,Biossido di Zolfo,µg/m³,685,273.0,BG,Calusco d'Adda,45.69042907854514,9.484260927647789
5730,Ozono,µg/m³,564,279.0,CO,Erba,45.808573806922965,9.221779204488437
5719,Ozono,µg/m³,542,222.0,MB,Meda,45.66176219189168,9.156643984551597
6220,Ossidi di Azoto,µg/m³,584,249.0,BG,Bergamo,45.69568034432694,9.66124914606551
5805,Monossido di Carbonio,mg/m³,574,214.0,LC,Lecco,45.850191194578535,9.395577066893225
12602,Arsenico,ng/m³,655,221.0,BS,Darfo Boario Terme,45.87460210989037,10.17735680898138
12688,Benzo(a)pirene,ng/m³,633,70.0,CR,Soresina,45.28397715446764,9.863398419993636
10432,Biossido di Azoto,µg/m³,1264,290.0,SO,Sondrio,46.16785244066512,9.879209924469905
6784,Ossidi di Azoto,µg/m³,652,154.0,BS,Brescia,45.539529434956,10.231785907477224
10074,Biossido di Azoto,µg/m³,694,109.0,VR,Salionze,45.40331375821289,10.72659797077939
20041,Ozono,µg/m³,670,22.0,MN,Mantova,45.16056833010576,10.79556411370788
9899,Ozono,µg/m³,609,108.0,BG,Casirate d'Adda,45.49822713394494,9.55623226235176
30166,Benzene,µg/m³,652,154.0,BS,Brescia,45.539529434956,10.231785907477224
9927,PM10 (SM2005),µg/m³,677,43.0,CR,Cremona,45.14254063221695,10.043836158369391
10037,Ossidi di Azoto,µg/m³,687,215.0,VA,Ferno,45.61924377994763,8.756970445453431
30159,Ossidi di Azoto,µg/m³,655,221.0,BS,Darfo Boario Terme,45.87460210989037,10.17735680898138
6926,PM10 (SM2005),µg/m³,572,262.0,SO,Morbegno,46.132282960003735,9.566179893984474
6260,Ossidi di Azoto,µg/m³,607,64.0,LO,Abbadia Cerreto,45.309502269282255,9.585790416120414
11041,Biossido di Zolfo,µg/m³,674,162.0,MB,Monza,45.58026348442243,9.273573092713274
5631,Biossido di Zolfo,µg/m³,546,137.0,MI,Magenta,45.462415791106615,8.880210433125571
5630,Biossido di Zolfo,µg/m³,531,114.0,MI,Pioltello,45.48363035323249,9.327360033215143
5531,Biossido di Azoto,µg/m³,528,116.0,MI,Milano,45.46334674066655,9.195324807668856
5607,Biossido di Azoto,µg/m³,604,85.0,LO,Tavazzano con Villavesco,45.33036100181227,9.414644726627262
10259,Benzene,µg/m³,569,307.0,SO,Sondrio,46.16796681227828,9.87014407497457
10016,Biossido di Zolfo,µg/m³,664,18.0,MN,Mantova,45.151743379576594,10.78140770009565
29041,Benzene,µg/m³,561,202.0,CO,Como,45.81504286011291,9.06697137484454
6945,PM10 (SM2005),µg/m³,633,70.0,CR,Soresina,45.28397715446764,9.863398419993636
9920,Ossidi di Azoto,µg/m³,665,37.0,MN,Viadana,44.92469404955067,10.517502067117825
5564,Biossido di Azoto,µg/m³,561,202.0,CO,Como,45.81504286011291,9.06697137484454
6958,PM10 (SM2005),µg/m³,569,307.0,SO,Sondrio,46.16796681227828,9.87014407497457
10396,Particelle sospese PM2.5,µg/m³,674,162.0,MB,Monza,45.58026348442243,9.273573092713274
